No. of App.,Application date,Acceptance date,Description of project and contract works,Project postcode,Claimed amount (ex GST),Amount of Payment Schedule (ex GST),Section of Act application made under,Business Type/Activity (Claimant),Business Structure (Claimant),Claimant advisers,Business Type/Activity (Respondent),Business Structure (Respondent),Respondent advisers,Determination status,Determination completion date,Reasons if the application is not determined,s21(2B) new reasons provided by Respondent,s22(4)(b) extension of time sought,Determination released,Determination released date,Adjudicated amount (ex GST),Total Adjudicator fee (ex GST),Adjudicator's fee payable by Claimant %,Adjudicator's fee payable by Respondent %,Adjudicator's fee payable by Claimant (ex GST),Adjudicator's fee payable by Respondent (ex GST),Adjudication Certificate issued,Adjudication Certificate fee (ex GST),Date Adjudication Certificate issued,Region name,Description of work processed,Work category,Adjudicate ratio,Log claimed amount
11,2021-07-02,2021-07-07,"Supply and install drainer, sewer and stormwater and metal roof ",3498,23117.93,,s.18(1)(b),Trade subcontractor,Sole Trader,Solicitors,Head contractor,Pty Ltd Company,None,Determined,2021-07-28,,No,No,Yes,2021-08-02,23117.93,818.18,0.0,1.0,0.0,818.18,No,,,Northern Victoria,supply install drainer sewer stormwater metal roof ,3,1.0,10.048363785906036
12,2021-07-02,2021-07-07,"Supply and install drainer, sewer and stormwater and temp fence hire",3498,25560.12,,s.18(1)(b),Trade subcontractor,Sole Trader,Solicitors,Head contractor,Pty Ltd Company,None,Determined,2021-07-28,,No,No,Yes,2021-08-02,25560.12,818.18,0.0,1.0,0.0,818.18,No,,,Northern Victoria,supply install drainer sewer stormwater temp fence hire,1,1.0,10.148788603316131
13,2021-07-02,2021-07-07,"Supply and install drainer, sewer and stormwater ",3500,5185.0,,s.18(1)(b),Trade subcontractor,Sole Trader,Solicitors,Head contractor,Pty Ltd Company,None,Determined,2021-07-28,,No,No,Yes,2021-08-02,5185.0,613.64,0.0,1.0,0.0,613.64,No,,,Northern Victoria,supply install drainer sewer stormwater ,1,1.0,8.553525120663627
14,2021-07-02,,Supply and install manual louvres shutters,3125,848509.53,0.0,s.18(1)(a)(i),Supplier,Pty Ltd Company,None,Head contractor,Pty Ltd Company,None,Not determined,,Withdrawn by Claimant,No,No,,,,,,,,,,,,Southern Metropolitan,supply install manual louvres shutters,1,,13.651236595178494
15,2021-07-02,2021-07-07,"Supply and install metal roof, rough in and fit off",3500,13172.13,,s.18(1)(b),Trade subcontractor,Sole Trader,Solicitors,Head contractor,Pty Ltd Company,None,Determined,2021-07-28,,No,No,Yes,2021-08-02,13172.13,818.18,0.0,1.0,0.0,818.18,No,,,Northern Victoria,supply install metal roof rough fit,3,1.0,9.485858512867534
16,2021-07-02,2021-07-07,Supply and install roof downpipes and  fit off and drainage roll,3500,4472.91,,s.18(1)(b),Trade subcontractor,Sole Trader,Solicitors,Head contractor,Pty Ltd Company,None,Determined,2021-07-28,,No,No,Yes,2021-08-02,4472.91,613.64,0.0,1.0,0.0,613.64,No,,,Northern Victoria,supply install roof downpipes  fit drainage roll,3,1.0,8.405794482506078
17,2021-07-02,2021-07-07,Supply and install roof downpipes and plumber fit off,3500,13950.86,,s.18(1)(b),Trade subcontractor,Sole Trader,Solicitors,Head contractor,Pty Ltd Company,None,Determined,2021-07-28,,No,No,Yes,2021-08-02,13950.86,818.18,0.0,1.0,0.0,818.18,No,,,Northern Victoria,supply install roof downpipes plumber fit,1,1.0,9.543296434094826
18,2021-07-02,2021-07-07,Supply and install roof downpipes and plumber fit off,3500,12495.49,,s.18(1)(b),Trade subcontractor,Sole Trader,Solicitors,Head contractor,Pty Ltd Company,None,Determined,2021-07-28,,No,No,Yes,2021-08-02,12495.49,818.18,0.0,1.0,0.0,818.18,No,,,Northern Victoria,supply install roof downpipes plumber fit,1,1.0,9.433123058186412
19,2021-07-02,2021-07-07,"Supply and install roofing, downpipes and roof edge protection",3500,21129.92,,s.18(1)(b),Trade subcontractor,Sole Trader,Solicitors,Head contractor,Pty Ltd Company,None,Determined,2021-07-28,,No,No,Yes,2021-08-02,21129.92,818.18,0.0,1.0,0.0,818.18,No,,,Northern Victoria,supply install roofing downpipes roof edge protection,1,1.0,9.958445324516802
20,2021-07-02,2021-07-07,"Supply and install stormwater, fit off and range hood plumber",3500,6187.7,,s.18(1)(b),Trade subcontractor,Sole Trader,Solicitors,Head contractor,Pty Ltd Company,None,Determined,2021-07-28,,No,No,Yes,2021-08-02,6187.7,613.64,0.0,1.0,0.0,613.64,No,,,Northern Victoria,supply install stormwater fit range hood plumber,1,1.0,8.730318729586884
21,2021-07-02,2021-07-07,"Supply and install stormwater, fit off and solar panel",3500,4576.02,,s.18(1)(b),Trade subcontractor,Sole Trader,Solicitors,Head contractor,Pty Ltd Company,None,Determined,2021-07-28,,No,No,Yes,2021-08-02,4576.02,613.64,0.0,1.0,0.0,613.64,No,,,Northern Victoria,supply install stormwater fit solar panel,1,1.0,8.428584903679454
22,2021-07-02,2021-07-07,"Supply and install temp fence, stormwater and fit off",3500,6154.36,,s.18(1)(b),Trade subcontractor,Sole Trader,Solicitors,Head contractor,Pty Ltd Company,None,Determined,2021-07-28,,No,No,Yes,2021-08-02,6154.36,613.64,0.0,1.0,0.0,613.64,No,,,Northern Victoria,supply install temp fence stormwater fit,1,1.0,8.72491605270855
23,2021-07-02,2021-07-07,Supply and install under floor drainage and water tapping,3498,4845.0,,s.18(1)(b),Trade subcontractor,Sole Trader,Solicitors,Head contractor,Pty Ltd Company,None,Determined,2021-07-28,,No,No,Yes,2021-08-02,4845.0,613.64,0.0,1.0,0.0,613.64,No,,,Northern Victoria,supply install floor drainage water tapping,3,1.0,8.485702524324866
24,2021-07-02,2021-07-07,"Supply and install under floor drainage, metal roof and water meter",3500,24014.02,,s.18(1)(b),Trade subcontractor,Sole Trader,Solicitors,Head contractor,Pty Ltd Company,None,Determined,2021-07-28,,No,No,Yes,2021-08-02,24014.02,818.18,0.0,1.0,0.0,818.18,No,,,Northern Victoria,supply install floor drainage metal roof water meter,3,1.0,10.086393105437821
25,2021-07-02,2021-07-07,"Supply and install under floor drainage, metal roof and water meter",3496,19401.94,,s.18(1)(b),Trade subcontractor,Sole Trader,Solicitors,Head contractor,Pty Ltd Company,None,Determined,2021-07-28,,No,No,Yes,2021-08-02,19401.94,818.18,0.0,1.0,0.0,818.18,No,,,Northern Victoria,supply install floor drainage metal roof water meter,3,1.0,9.873128340051753
26,2021-07-02,2021-07-07,"Supply and install under floor drainage, metal roof and water meter",3496,3645.0,,s.18(1)(b),Trade subcontractor,Sole Trader,Solicitors,Head contractor,Pty Ltd Company,None,Determined,2021-07-28,,No,No,Yes,2021-08-02,3645.0,613.64,0.0,1.0,0.0,613.64,No,,,Northern Victoria,supply install floor drainage metal roof water meter,3,1.0,8.201111644442758
27,2021-07-02,2021-07-07,Supply and install under floor spouting and fascia,3498,7477.26,,s.18(1)(b),Trade subcontractor,Sole Trader,Solicitors,Head contractor,Pty Ltd Company,None,Determined,2021-07-28,,No,No,Yes,2021-08-02,7477.26,613.64,0.0,1.0,0.0,613.64,No,,,Northern Victoria,supply install floor spouting fascia,1,1.0,8.91962169370014
28,2021-07-07,2021-07-12,Architect services for construction of apartments,3142,52719.0,,s.18(1)(b),Consultant,Pty Ltd Company,Claim preparer,Developer,Sole Trader,Solicitors,Not determined,,Timed out,No,No,,,,,,,,,,,,Southern Metropolitan,architect services construction apartments,2,,10.872731200862956
29,2021-07-08,,Joinery works,3146,51755.13,,s.18(1)(b),Trade subcontractor,Pty Ltd Company,None,Head contractor,Pty Ltd Company,None,Not determined,,Withdrawn by Claimant,No,No,,,,,,,,,,,,Southern Metropolitan,joinery works,0,,10.854278836649302
30,2021-07-09,2021-07-14,Supply of building materials to residential dwelling,3356,46426.18,0.0,s.18(1)(a)(i),Supplier,Pty Ltd Company,None,Developer,Sole Trader,None,Determined,2021-07-28,,No,No,Yes,2021-07-29,0.0,1036.36,1.0,0.0,1036.36,0.0,No,,,Western Victoria,supply building materials residential dwelling,1,0.0,10.745618803237686
31,2021-07-14,,Installation of new roof and wall cladding,3191,25171.07,0.0,s.18(1)(a)(i),Major subcontractor,Ltd Company,None,Head contractor,Pty Ltd Company,None,Not determined,,Settled by parties,No,No,,,,,,,,,,,,Southern Metropolitan,installation new roof wall cladding,1,,10.133450598151503
32,2021-07-15,2021-07-21,Installation of new roof and wall cladding,3337,13565.21,432.99,s.18(1)(b),Major subcontractor,Ltd Company,None,Head contractor,Pty Ltd Company,None,Determined,2021-08-04,,No,No,Yes,2021-08-05,6069.35,2072.73,0.5,0.5,1036.37,1036.36,No,,,Western Victoria,installation new roof wall cladding,1,0.44742027583797084,9.515263705990526
33,2021-07-16,2021-07-21,Architectural services,3163,13003.75,0.0,s.18(1)(a)(i),Consultant,Pty Ltd Company,None,Head contractor,Pty Ltd Company,None,Not determined,,Withdrawn by Claimant,No,No,,,,0.0,0.0,0.0,0.0,0.0,,,,Southern Metropolitan,architectural services,2,,9.472993056385105
34,2021-07-16,,Demolition of old veranda and build new veranda,3058,9047.27,,s.18(1)(b),Trade subcontractor,Sole Trader,None,Head contractor,Other,None,Not determined,,Withdrawn by Claimant,No,No,,,,,,,,,,,,Northern Metropolitan,demolition old veranda build new veranda,2,,9.110218333727644
35,2021-07-19,2021-07-21,Concreting works,3206,24300.0,0.0,s.18(1)(a)(i),Trade subcontractor,Pty Ltd Company,None,Head contractor,Pty Ltd Company,None,Not determined,,Withdrawn by Claimant,No,No,,,,2350.0,1.0,0.0,2350.0,0.0,,,,Southern Metropolitan,concreting works,0,,10.09823162932864
36,2021-07-20,2021-07-26,Plumbing works in townhouses,3058,362386.62,35478.0,s.18(1)(a)(i),Major subcontractor,Pty Ltd Company,None,Head contractor,Pty Ltd Company,None,Determined,2021-07-30,,No,No,Yes,2021-08-04,254726.71,4909.09,0.3,0.7,1472.73,3436.36,Yes,500.0,2021-08-12,Northern Metropolitan,plumbing works townhouses,0,0.7029142245925084,12.80046693193958
37,2021-07-20,2021-07-23,Precast panel installation,3011,56564.72,,s.18(1)(b),Major subcontractor,Pty Ltd Company,None,Manufacturer of building materials or components,Trust,None,Not determined,,Timed out,No,No,,,,,,,,,,,,Western Metropolitan,precast panel installation,1,,10.94314074829086
38,2021-07-20,2021-07-23,Precast panel installation,3123,14721.36,,s.18(1)(b),Major subcontractor,Pty Ltd Company,None,Manufacturer of building materials or components,Trust,None,Not determined,,Timed out,No,No,,,,,,,,,,,,Southern Metropolitan,precast panel installation,1,,9.597054779319402
39,2021-07-20,2021-07-23,Precast panel installation,3020,8863.64,,s.18(1)(b),Major subcontractor,Pty Ltd Company,None,Manufacturer of building materials or components,Trust,None,Not determined,,Timed out,No,No,,,,,,,,,,,,Western Metropolitan,precast panel installation,1,,9.089712794443894
40,2021-07-20,2021-07-23,Precast panel installation,3025,8345.45,,s.18(1)(b),Major subcontractor,Pty Ltd Company,None,Manufacturer of building materials or components,Trust,None,Not determined,,Timed out,No,No,,,,,,,,,,,,Western Metropolitan,precast panel installation,1,,9.029471759147754
41,2021-07-20,2021-07-23,Precast panel installation,3149,4418.18,,s.18(1)(b),Major subcontractor,Pty Ltd Company,None,Manufacturer of building materials or components,Trust,None,Not determined,,Timed out,No,No,,,,,,,,,,,,Southern Metropolitan,precast panel installation,1,,8.393483125567496
42,2021-07-20,2021-07-23,Precast panel installation,3025,3768.76,,s.18(1)(b),Major subcontractor,Pty Ltd Company,None,Manufacturer of building materials or components,Trust,None,Not determined,,Timed out,No,No,,,,,,,,,,,,Western Metropolitan,precast panel installation,1,,8.234501313871643
43,2021-07-20,2021-07-21,Structural steel works,3053,4791.17,,s.18(1)(b),Trade subcontractor,Pty Ltd Company,None,Head contractor,Pty Ltd Company,None,Not determined,,Withdrawn by Claimant,No,No,,,,0.0,0.0,0.0,0.0,0.0,,,,Northern Metropolitan,structural steel works,6,,8.474529919451271
44,2021-07-23,2021-07-28,Construction of civil services for residential subdivision,3764,90624.44,0.0,s.18(1)(a)(i),Head contractor,Pty Ltd Company,Solicitors,Developer,Trust,Solicitors,Determined,2021-08-11,,Yes,No,Yes,2021-08-16,37001.15,7772.73,0.0,1.0,0.0,7772.73,No,,,Northern Victoria,construction civil services residential subdivision,2,0.4082910746813994,11.414479212827539
45,2021-07-23,,Structural engineering consultancy services,3039,29130.0,29130.0,s.18(1)(a)(ii),Consultant,Pty Ltd Company,None,Head contractor,Pty Ltd Company,None,Not determined,,Settled by parties,No,No,,,,,,,,,,,,Northern Metropolitan,structural engineering consultancy services,2,,10.279523849953481
46,2021-07-26,2021-07-27,Painting works,3134,30008.0,,s.18(1)(b),Trade subcontractor,Pty Ltd Company,None,Head contractor,Pty Ltd Company,None,Determined,2021-08-16,,No,Yes,Yes,2021-08-17,6740.0,3500.0,0.5,0.5,1750.0,1750.0,No,,,North-Eastern Metropolitan,painting works,0,0.22460677152759265,10.309219291761723
47,2021-07-27,,Electrical works,3220,27773.68,,s.18(1)(b),Trade subcontractor,Sole Trader,None,Developer,Other,None,Not determined,,Withdrawn by Claimant,No,No,,,,,,,,,,,,Western Victoria,electrical works,0,,10.23184408862602
48,2021-07-28,2021-07-30,Architect services for construction of apartments,3142,33169.63,,s.18(1)(b),Consultant,Pty Ltd Company,Claim preparer,Developer,Sole Trader,None,Not determined,,Withdrawn by Claimant,No,Yes,,,,1320.0,1.0,0.0,1320.0,0.0,,,,Southern Metropolitan,architect services construction apartments,2,,10.40938997722106
49,2021-07-28,2021-08-03,"Multi-level development of apartments, commercial area and basement",3070,692675.08,117226.44,s.18(1)(b),Head contractor,Pty Ltd Company,Solicitors,Developer,Pty Ltd Company,Solicitors,Determined,2021-08-16,,No,No,Yes,2021-08-18,272747.17,14318.18,0.0,1.0,0.0,14318.18,No,,,Northern Metropolitan,multilevel development apartments commercial area basement,2,0.39375917782403835,13.448316308193949
50,2021-07-29,2021-08-03,Site retention and excavation work,3079,166247.86,1405.0,s.18(1)(a)(i),Major subcontractor,Pty Ltd Company,Solicitors,Head contractor,Pty Ltd Company,None,Determined,2021-08-18,,No,No,Yes,2021-08-20,111807.27,5318.18,0.0,1.0,0.0,5318.18,No,,,North-Eastern Metropolitan,site retention excavation work,2,0.6725335893045481,12.021235086254801
51,2021-07-30,2021-08-02,Construction works,3066,30008.0,,s.18(1)(b),Head contractor,Pty Ltd Company,Solicitors,Developer,Pty Ltd Company,None,Determined,2021-08-09,,No,No,Yes,2021-08-09,30008.0,3500.0,0.0,1.0,0.0,3500.0,Yes,0.0,2021-08-17,Northern Metropolitan,construction works,0,1.0,10.309219291761723
52,2021-08-03,2021-08-06,Carpentry lock-up and fixes package,3136,6400.0,2482.42,s.18(1)(a)(i),Trade subcontractor,Pty Ltd Company,None,Head contractor,Pty Ltd Company,None,Determined,2021-08-20,,No,No,Yes,2021-08-25,2563.17,2072.73,0.5,0.5,1036.37,1036.36,No,,,North-Eastern Metropolitan,carpentry lockup fixes package,2,0.40049531250000003,8.764053269347762
53,2021-08-06,2021-08-11,"Manufacture, supply and install steel frame walls, trusses and ceilings",3026,8856.36,3330.91,s.18(1)(a)(i),Trade subcontractor,Pty Ltd Company,None,Head contractor,Pty Ltd Company,None,Determined,2021-08-24,,No,No,Yes,2021-08-26,8856.36,1363.64,0.0,1.0,0.0,1363.64,No,,,Western Metropolitan,manufacture supply install steel frame walls trusses ceilings,1,1.0,9.088891123968772
54,2021-08-06,2021-08-10,Supply and installation of stairs,3083,15093.0,,s.18(1)(b),Trade subcontractor,Pty Ltd Company,None,Head contractor,Pty Ltd Company,None,Determined,2021-08-19,,No,No,Yes,2021-08-19,15093.0,1200.0,0.0,1.0,0.0,1200.0,Yes,0.0,2021-09-27,North-Eastern Metropolitan,supply installation stairs,1,1.0,9.621986339159427
55,2021-08-09,2021-08-10,Concreting works,3058,44957.21,17090.4,s.18(1)(a)(i),Trade subcontractor,Pty Ltd Company,Solicitors,Head contractor,Pty Ltd Company,Solicitors,Determined,2021-08-27,,Yes,Yes,Yes,2021-08-27,34696.21,3500.0,0.5,0.5,1750.0,1750.0,No,,,Northern Metropolitan,concreting works,0,0.7717607476086705,10.71346642748193
56,2021-08-11,2021-08-18,Construction of residential apartments,3184,26445.0,0.0,s.18(1)(b),Head contractor,Pty Ltd Company,None,Major Subcontractor,Pty Ltd Company,None,Determined,2021-09-01,,Yes,No,Yes,2021-09-03,0.0,906.82,1.0,0.0,906.82,0.0,No,,,Southern Metropolitan,construction residential apartments,2,0.0,10.18282238350008
58,2021-08-11,,"Supply and install hydraulic, sanitary, civil, sewer, fire and gas services ",3939,21030.55,2259.09,s.18(1)(b),Major subcontractor,Pty Ltd Company,Claim preparer,Head contractor,Pty Ltd Company,None,Not determined,,Settled by parties,No,No,,,,,,,,,,,,Eastern Victoria,supply install hydraulic sanitary civil sewer fire gas services ,5,,9.953731421469357
59,2021-08-11,,"Supply and install hydraulic, sanitary, civil, sewer, fire and gas services ",3052,13486.5,0.0,s.18(1)(b),Major subcontractor,Pty Ltd Company,Claim preparer,Head contractor,Pty Ltd Company,None,Not determined,,Settled by parties,No,No,,,,,,,,,,,,Northern Metropolitan,supply install hydraulic sanitary civil sewer fire gas services ,5,,9.509444464092937
60,2021-08-18,2021-08-26,Construction of basement,3186,126655.52,0.0,s.18(1)(a)(i),Trade subcontractor,Pty Ltd Company,Claim preparer,Head contractor,Pty Ltd Company,Solicitors,Determined,2021-09-16,,Yes,Yes,Yes,2021-10-08,71620.32,15443.18,0.0,1.0,15443.18,0.0,No,,,Southern Metropolitan,construction basement,2,0.5654733406013414,11.749226239162232
61,2021-08-20,2021-08-26,Structural engineering consultancy services,3039,22840.0,18460.0,s.18(1)(a)(i),Consultant,Pty Ltd Company,None,Head contractor,Pty Ltd Company,None,Not determined,,Settled by parties,No,No,,,,,,,,,,,,Northern Metropolitan,structural engineering consultancy services,2,,10.036268663769947
62,2021-08-23,2021-08-27,Structural steel works,3925,958475.0,0.0,s.18(1)(a)(i),Major subcontractor,Pty Ltd Company,Solicitors,Head contractor,Pty Ltd Company,Solicitors,Not determined,,Settled by parties,No,Yes,,,,2530.0,1.0,0.0,2530.0,0.0,,,,Eastern Victoria,structural steel works,6,,13.773098758707235
63,2021-08-24,2021-08-30,Hydraulic services,3078,35087.64,,s.18(1)(b),Trade subcontractor,Pty Ltd Company,None,Head contractor,Pty Ltd Company,None,Determined,2021-09-06,,No,No,Yes,2021-10-18,30852.62,1534.09,0.0,1.0,0.0,1534.09,No,,,Northern Metropolitan,hydraulic services,2,0.8793016572217454,10.465604210687115
64,2021-08-24,,Installation of new roof and wall cladding,3068,12522.08,3872.4,s.18(1)(a)(i),Major subcontractor,Pty Ltd Company,None,Head contractor,Pty Ltd Company,None,Not determined,,Other,No,No,,,,,,,,,,,,Northern Metropolitan,installation new roof wall cladding,1,,9.435248765040637
65,2021-08-24,,Installation of new roof and wall cladding,3337,11552.2,1160.27,s.18(1)(a)(i),Major subcontractor,Pty Ltd Company,None,Head contractor,Pty Ltd Company,None,Not determined,,Other,No,No,,,,,,,,,,,,Western Victoria,installation new roof wall cladding,1,,9.35463117400213
66,2021-08-24,2021-08-27,Office fit out,3032,102876.13,61560.57,s.18(1)(b),Developer,Pty Ltd Company,Claim preparer,Developer,Pty Ltd Company,None,Determined,2021-09-10,,Yes,No,Yes,2021-09-15,102876.13,8181.82,0.0,1.0,0.0,8181.82,No,,,Northern Metropolitan,office fit,2,1.0,11.541280922123176
67,2021-08-25,2021-08-31,Maintenance of wind turbine generators,3352,5739758.63,0.0,s.18(1)(a)(i),Head contractor,Pty Ltd Company,Solicitors,Developer,Partnership,Solicitors,Determined,2021-09-15,,No,Yes,Yes,2021-09-17,5730848.6,18818.18,0.0,1.0,0.0,18818.18,No,,,Western Victoria,maintenance wind turbine generators,2,0.9984476646886455,15.562927716888954
68,2021-08-27,2021-09-01,Architect services for construction of apartments,3142,52719.0,0.0,s.18(1)(a)(i),Consultant,Pty Ltd Company,Claim preparer,Developer,Pty Ltd Company,Solicitors,Determined,2021-09-20,,No,Yes,Yes,2021-09-22,40964.0,6600.0,0.0,1.0,0.0,6600.0,No,,,Southern Metropolitan,architect services construction apartments,2,0.7770253608755856,10.872731200862956
69,2021-08-27,2021-09-01,Prestressing works,3146,66311.0,65279.0,s.18(1)(a)(ii),Trade subcontractor,Pty Ltd Company,None,Head contractor,Pty Ltd Company,None,Determined,2021-09-08,,No,No,Yes,2021-09-10,65279.0,5000.0,0.0,1.0,0.0,5000.0,Yes,0.0,2021-09-20,Southern Metropolitan,prestressing works,0,0.9844369712415738,11.102111074930848
70,2021-08-27,2021-09-02,Supply and install cladding,3818,18027.1,,s.18(1)(b),Trade subcontractor,Pty Ltd Company,None,Head contractor,Trust,None,Determined,2021-09-16,,No,No,Yes,2021-09-20,0.0,906.82,1.0,0.0,906.82,0.0,No,,,Eastern Victoria,supply install cladding,1,0.0,9.799631460221356
71,2021-08-31,2021-09-06,Electrical Works (new pits and metering),3581,37224.39,0.0,s.18(1)(b),Trade subcontractor,Pty Ltd Company,Solicitors,Head contractor,Other,Response preparer,Determined,2021-09-23,,No,Yes,Yes,2021-09-24,37224.39,4090.91,0.0,1.0,0.0,4090.91,Yes,500.0,2021-10-27,Northern Victoria,electrical works new pits metering,0,1.0,10.524719470581141
72,2021-08-31,,Installation of new roof and wall cladding,3068,12522.08,3872.4,s.18(1)(a)(i),Major subcontractor,Pty Ltd Company,None,Head contractor,Pty Ltd Company,None,Not determined,,Other,No,No,,,,,,,,,,,,Northern Metropolitan,installation new roof wall cladding,1,,9.435248765040637
73,2021-08-31,,Installation of new roof and wall cladding,3337,11552.2,1160.27,s.18(1)(a)(i),Major subcontractor,Pty Ltd Company,None,Head contractor,Pty Ltd Company,None,Not determined,,Other,No,No,,,,,,,,,,,,Western Victoria,installation new roof wall cladding,1,,9.35463117400213
74,2021-09-01,2021-09-06,Apply render to cladding,3056,41454.25,0.0,s.18(1)(a)(i),Trade subcontractor,Sole Trader,None,Major subcontractor,Pty Ltd Company,Solicitors,Not determined,,Timed out,No,No,,,,,,,,,,,,Northern Metropolitan,apply render cladding,2,,10.632345688479772
75,2021-09-01,2021-09-06,Install and render cladding,3088,3973.31,0.0,s.18(1)(a)(i),Trade subcontractor,Sole Trader,None,Major subcontractor,Pty Ltd Company,Solicitors,Not determined,,Timed out,No,No,,,,,,,,,,,,North-Eastern Metropolitan,install render cladding,2,,8.287354779450766
76,2021-09-01,2021-09-03,Roofing works,3051,13774.29,4259.64,s.18(1)(a)(i),Trade subcontractor,Pty Ltd Company,None,Head contractor,Pty Ltd Company,None,Determined,2021-09-15,,No,No,Yes,2021-09-16,0.0,1200.0,1.0,0.0,1200.0,0.0,No,,,Northern Metropolitan,roofing works,0,0.0,9.53055909004302
77,2021-09-01,2021-09-03,Roofing works,3337,12707.42,1276.34,s.18(1)(a)(i),Trade subcontractor,Pty Ltd Company,None,Head contractor,Pty Ltd Company,None,Determined,2021-09-15,,No,No,Yes,2021-09-16,0.0,1200.0,1.0,0.0,1200.0,0.0,No,,,Western Victoria,roofing works,0,0.0,9.449941353806455
78,2021-09-04,2021-09-13,"Plant, Labour Hire and Drilling",3020,75000.0,,s.18(1)(b),Trade subcontractor,Sole Trader,None,Developer,Pty Ltd Company,None,Determined,2021-09-23,,No,Yes,Yes,2021-09-23,0.0,5000.0,1.0,0.0,5000.0,0.0,No,,,Western Metropolitan,plant labour hire drilling,2,0.0,11.225243392518447
